m pm10,s1 pm10,s2 pm10,s3 pm10,s4 pm10,s5 pm10
86.2,0,0,0,0,0
81.4,0,0,0,0,0
83.7,0,0,0,0,0
81.9,0,0,0,0,0
83.3,0,0,0,0,0
82.6,0,0,0,0,0
81.5,0,0,0,0,0
78.6,0,0,0,0,0
73.6,0,0,0,0,0
78.1,0,0,0,0,0
76.2,0,0,0,0,0
74.3,0,0,0,0,0
73.9,0,0,0,0,0
79.6,0,0,0,0,0
79.3,0,0,0,0,0
75.1,0,0,0,0,0
77.5,0,0,0,0,0
77.8,100.5,0,0,0,0
76.2,99.7,0,0,0,0
69.6,101.3,0,0,0,0
73.6,106.4,0,0,0,0
74.1,110.9,0,0,0,0
70.8,115,0,0,0,0
68.9,115.1,0,0,0,0
66.7,119.2,0,0,0,0
72.3,121.5,0,0,0,0
67.6,120.6,0,0,0,0
68.8,116.1,0,0,0,0
70.4,117.7,0,0,0,0
68.9,115.3,0,0,0,0
68.8,111.7,0,0,0,0
68,110.3,0,0,0,0
68.2,111.8,0,0,0,0
63.1,115.6,0,0,0,0
58.8,114.8,0,0,0,0
62.6,117.4,0,0,0,0
63.6,119,0,0,0,0
59,121.1,0,0,0,0
60,118.5,0,0,0,0
62.7,116.4,0,0,0,0
61.3,117.4,0,0,0,0
60.3,120.1,0,0,0,0
61.8,121,0,0,0,0
63,120.4,0,0,0,0
62.7,119.1,0,0,0,0
60.9,121.2,0,0,0,0
61.1,120.1,0,0,0,0
56,118.4,0,0,0,0
53.8,117.8,0,0,0,67.7
52.8,119.3,0,0,0,129.1
54.1,125.8,0,0,0,133.2
55.1,127.7,0,0,0,134
59.7,129.8,0,0,0,131.1
63.7,131.3,0,0,0,131.6
60.2,133.5,0,0,0,138.3
60.2,130.2,0,0,0,137.4
58.9,126.2,0,0,0,134.2
58.1,121.1,0,0,0,135.5
55.1,120.4,0,0,0,136.5
55.4,117.8,0,0,0,137.7
59.8,119.1,0,0,0,138.3
60.3,121.7,0,0,0,142.4
62,124.3,0,0,0,145.2
63.2,124.4,0,0,0,146.1
62.1,125.4,0,0,0,146.6
59.4,125.4,0,0,0,150.6
54.7,126,0,0,0,146
55.6,127.1,0,0,0,150.6
53.7,123.9,0,0,0,155.7
52.4,124.7,0,0,0,153.4
