s5 pm10,m pm10,s1 pm10,s2 pm10,s3 pm10,s4 pm10
0,121,0,0,0,0
0,123.3,0,0,0,0
0,124.6,0,0,0,0
0,125,0,0,0,0
0,125.1,0,0,0,0
0,131.6,0,0,0,0
0,131.4,0,0,0,0
0,126.9,0,0,0,0
0,127.5,0,0,0,0
0,130.9,0,0,0,0
0,133.9,0,0,0,0
0,127.1,0,0,0,0
0,131.6,0,0,0,0
0,130.8,0,0,0,0
0,132.5,0,0,0,0
0,127.5,0,0,0,0
0,120.7,0,0,0,0
0,124.4,0,0,0,0
0,128.5,0,0,0,0
0,124,0,0,0,0
0,118.9,0,0,0,0
0,119.5,0,0,0,0
0,116.2,0,0,0,0
0,118.9,0,0,0,0
0,113.8,0,0,0,0
0,106,0,0,0,0
0,108.2,0,0,0,0
0,113.1,0,0,0,0
0,117.7,0,0,0,0
0,107.5,0,0,0,0
0,111.5,155.3,0,0,0
0,121,174.8,0,0,0
0,116.5,164.6,0,0,0
0,111.9,141.4,0,0,0
0,108.8,131.7,0,0,0
0,114,111.5,0,0,0
0,109.2,114,0,0,0
0,101.2,96.3,0,0,0
0,100.9,91,0,0,0
0,105.6,94.4,0,0,0
0,108.2,97.6,0,0,0
0,105.7,97.3,0,0,0
0,104.9,98.6,0,0,0
0,111.6,98.5,0,0,0
0,115.7,101.5,0,0,0
0,114.2,101.6,0,0,0
0,112,97.6,0,0,0
0,118.3,95.4,0,0,0
0,116.6,97.9,0,0,0
0,111.2,97.5,0,0,0
0,110.4,96.8,0,0,0
0,107.3,103.7,0,0,0
0,105.2,105.9,0,0,0
0,99,111.2,0,0,0
0,101.4,111.2,0,0,0
0,102.6,103.6,0,0,0
0,106.5,104.3,0,0,0
0,107.8,95.8,0,0,0
0,106.5,97.6,0,0,0
0,104.3,89.9,0,0,0
0,104.4,89.4,0,0,0
0,109.1,93.4,0,0,0
0,105.9,91.3,0,0,0
0,105.2,96,0,0,0
0,106.4,97.1,0,0,0
0,110.1,102.7,0,0,0
0,109.8,105.3,0,0,0
0,111.9,102,0,0,0
0,111.5,107.7,0,0,0
0,108.6,104.6,0,0,0
0,108.9,100.4,0,0,0
0,106.8,101.1,0,0,0
0,107.6,95.9,0,0,0
0,101.3,97.3,0,0,0
0,99,87.7,0,0,0
0,104.1,89.3,0,0,0
0,103,91.5,0,0,0
0,105.7,84.4,0,0,0
0,105.8,85.2,0,0,0
95.2,113.8,89,0,0,0
100.3,119.8,93.5,0,0,0
97.5,120.6,89,0,0,0
94.5,121,89.3,0,0,0
92.6,122.5,98.7,0,0,0
98.7,118.8,99.8,0,0,0
96.3,122.4,93.8,0,0,0
93.2,120.9,96.9,0,0,0
90.1,116.2,98.3,0,0,0
95.2,112.3,96.3,0,0,0
96.6,115.6,89.1,0,0,0
95,112.9,87.6,0,0,0
93.3,103.5,86.7,0,0,0
91,103.4,81.4,0,0,0
95.3,112.7,82.9,0,0,0
92.3,115.1,84.6,0,0,0
92.4,109.5,85.9,0,0,0
90.7,112,85.2,0,0,0
90.6,113.5,85.8,0,0,0
92.4,107,87.6,0,0,0
93.2,96.2,85.3,0,0,0
92.8,92.9,79.6,0,0,0
92.2,94.3,82.7,0,0,0
91.2,91,83.7,0,0,0
88,92.6,83.7,0,0,0
92.2,94.2,86.2,0,0,0
92.1,98.2,92.2,0,0,0
90.1,100.5,96.3,0,0,0
90.1,99.9,95.3,0,0,0
94.4,101.3,96,0,0,0
95.9,101.7,103.4,0,0,0
91,105.5,98.7,0,0,0
89.1,106.3,95.8,0,0,0
90.3,107.5,95.1,0,0,0
90.9,107.8,94.1,0,0,0
90.1,105.8,92.9,0,0,0
90.7,107.5,88.1,0,0,0
94.6,106.4,90.7,0,0,0
96.7,101.2,89.2,0,0,0
99.2,97.2,91.3,0,0,0
100.2,103.9,91.1,0,0,0
94.9,104.6,91,0,0,0
96.2,107.7,93.6,0,0,0
92.2,108.3,89.8,0,0,0
87.1,116.2,89.6,0,0,0
84.8,121.9,89.2,0,0,0
85.2,115,87.5,0,0,0
85.1,118.8,86.2,0,0,0
86.6,113.1,87.1,0,0,0
89,108.9,91.2,0,0,0
90.5,103.7,93.2,0,0,0
90.3,102.1,91.1,0,0,0
90.5,102.5,91.3,0,0,0
89.9,95,90.4,0,0,0
87.7,92.9,86,0,0,0
84.5,103.3,83.1,0,0,0
84.2,100.2,80.6,0,0,0
84.8,98.8,78.2,0,0,0
84.3,98.2,77.5,0,0,0
83.9,97.5,82.1,0,0,0
83.9,98.9,84.1,0,0,0
83.9,92.2,84.1,0,0,0
84.4,92.4,81.6,0,0,0
89.9,89.5,87.8,0,0,0
91,86,89.8,0,0,0
94.5,89.2,85.5,0,0,0
95.3,87.6,86.7,0,0,0
94.8,85.5,87.3,0,0,0
94,89.4,90.6,0,0,0
86,88.3,88.5,0,0,0
83,89.2,81.4,0,0,0
81.6,93.5,80.2,0,0,0
81,90.5,80.5,0,0,0
84,87.6,79,0,0,0
81.5,83.8,77.5,0,0,0
83.3,87.3,75,0,0,0
81,91.2,83.6,0,0,0
79,85.9,80.7,0,0,0
73.9,84.2,82.6,0,0,0
68.8,84.5,85.6,0,0,0
69.6,84.9,83.4,0,0,0
70.9,82.5,81.7,0,0,0
74.5,80.3,77.2,0,0,0
73.9,83.9,76.3,0,0,0
77.8,92.4,79.3,0,0,0
79.3,95.4,75.1,0,0,0
79.4,96.6,76,0,0,0
75.2,101,77.5,0,0,0
72.4,106.1,78.6,0,0,0
71.5,103.9,82.7,0,0,0
71.5,104.5,80.7,0,0,0
73.2,99.2,81.3,0,0,0
73.9,104.6,82,0,0,0
80.1,105.7,78.9,0,0,0
82.7,111.3,77.7,0,0,0
82,108.6,74.9,0,0,0
79.8,103.5,72.8,0,0,0
79.4,104.3,69.4,0,0,0
78.8,100.6,73.5,0,0,0
74.1,101.7,75.5,0,0,0
73.5,97.7,76.8,0,0,0
77.3,98.9,79.4,0,0,0
79.6,101.9,78.9,0,0,0
77.2,99.5,80.3,0,0,0
76.1,97.7,78.2,0,0,0
78.4,95.8,80.8,0,0,0
78.2,91.9,79.3,0,0,0
78.8,91.3,75.8,0,0,0
79,85.4,78.7,0,0,0
81.7,84.7,76.2,0,0,0
82.6,85.3,80.3,0,0,0
